,place_name,place_id,lat,lng,type
53,Vogue Natal,ChIJzw65fPVVsgcRxLldF7IUx3k,-5.8591914,-35.2151303,bar
54,Whiskritório,ChIJU_vAI0b_sgcREiMCfMLWJ2g,-5.862451999999999,-35.1923815,bar
55,Bar do Pastel,ChIJK-MU_lJVsgcR4mWq4VCQ_2s,-5.806029899999999,-35.2232677,bar
56,Temaki Lounge,ChIJTw3G7BAAswcRHPgNYeCsJK0,-5.789064,-35.1974667,bar
57,Farol Bar e Restaurante,ChIJ07uAB0EAswcRxg5bwXMJa9s,-5.7858151,-35.1902901,bar
58,Bar 294,ChIJoYYWG-b_sgcRG6QXSiGY3xM,-5.781291500000001,-35.2021526,bar
59,Bar e Restaurante do Mineiro,ChIJNRuixm0AswcRHlXvB8WSKxA,-5.7843979,-35.2022713,bar
60,Bar E Restaurante Sol E Lua,ChIJP3W6_9L4sgcRs_F9IhoYVZo,-5.879989999999999,-35.179229,bar
61,Bar do Thomas,ChIJOR4Menf_sgcRGGw6shgsCyE,-5.8436495,-35.20365230000001,bar
62,Galpão 29,ChIJv34lbHsAswcRSFbFj1Q5hKc,-5.775274699999999,-35.2056298,bar
63,Batata Brasil,ChIJ1__lEgEAswcR60bK7FllsGY,-5.801650399999999,-35.2111236,bar
64,Oito Coquetéis,ChIJTzg71X5VsgcRB37ZPP7ZvPg,-5.8290294,-35.2257883,bar
65,Balada Bar e Petiscaria,ChIJ8VkV1e3_sgcRWwXxqtJ2dJ8,-5.818987,-35.2011683,bar
66,Old Five,ChIJhTyErS75sgcR4K5SrWhJvTw,-5.884048399999999,-35.1651562,bar
67,Beto's Bar,ChIJk5z901KqswcRFSAU-l5UXOY,-5.7590124,-35.2595135,bar
68,Arvoredo Bar Restaurante,ChIJh5ljsgdXsgcRx6lnj4laTZ0,-5.914617799999999,-35.2619713,bar
69,Buanas Botequim,ChIJBY7_DOVVsgcRqqWiTn6PEaM,-5.865369599999999,-35.227071,bar
70,Dom Vinicius,ChIJJyus9BkAswcRwHSewQ4VAmI,-5.797708099999999,-35.19820960000001,bar
71,Espetinho do Lucas,ChIJ__Ty9Iv_sgcRaXjlr0YsIOg,-5.8297146,-35.203471,bar
72,Maria Bonita,ChIJtyRTzmsAswcRQVChMMsgu6U,-5.784092500000001,-35.196866,bar
73,Pousada Marítimos,ChIJuaZooy__sgcRrgh7ScZX9_g,-5.868732800000001,-35.1805809,bar
74,Jatobar,ChIJsZmd6AgAswcREHmJ7m26gak,-5.864924099999999,-35.18971759999999,bar
75,Real Botequim,ChIJ6Zpc_mT_sgcRXn1Hg6Iq3zY,-5.8505407,-35.2059126,bar
76,Espetinho Seridoense,ChIJv49t1VH_sgcRn_ukzs0al4U,-5.8696462,-35.2038061,bar
77,Espetinho Eucaliptos,ChIJRcdI5rv4sgcRBAWXRKKuxLY,-5.890230999999999,-35.197448,bar
78,Art & Bar Coquetéis,ChIJndwB7mRVsgcR7Lk3k7gn_Lg,-5.8300674,-35.2223008,bar
79,O cantinho da Patricia e Tony - Ponto 12,ChIJ_TdMdSr5sgcRkUFo_xEwyvI,-5.878514699999999,-35.1738595,bar
80,Limas Coquetéis,ChIJF-yYCxFXsgcROcoDUHi27CM,-5.9183109,-35.2726104,bar
81,Green House Space,ChIJDySeZVlUsgcRBbK8BVgehck,-5.8398189,-35.2734359,bar
82,Bar e Espetinho do Doca,ChIJJfrbhB1VsgcRxsRUpvYjsyY,-5.825513,-35.25817279999999,bar
83,Espetinho do Gordinho,ChIJLSK1vh1VsgcRzCf2FNP4g7c,-5.8250528,-35.25701519999999,bar
84,Comercial Santo Antonio,ChIJUySN5wJVsgcR1aEwrjnQf6I,-5.8293584,-35.25664760000001,bar
85,Espetu's Beer,ChIJ-UVZhUpUsgcREljuQOTwEDc,-5.8539004,-35.2609176,bar
86,Espetinho do Galego,ChIJAwyE9jhVsgcRgHIv8Q2xamY,-5.8142098,-35.2385643,bar
87,Bar E Restaurante da Sol,ChIJIVxyTgxVsgcRQ_1VjdWUZ7A,-5.831905,-35.24035600000001,bar
88,Marcia Cris Espaço da Beleza,ChIJgxeG_FpVsgcRRPWbJXTGT1k,-5.8511828,-35.253354,bar
89,E Gela E Queijo Bar E Restaurante,ChIJoWoMTGtVsgcRrLge1kHQ60U,-5.8238194,-35.23676150000001,bar
90,From the Language Bar,ChIJh3hLiMqqswcRAs1ZiiFqm9Q,-5.800965199999999,-35.2375817,bar
91,Cantinho do sossego,ChIJY9WHVEZVsgcRSZvTW50OGus,-5.814140399999999,-35.2339163,bar
92,Restaurante do Cobra Choca,ChIJDR7TzUhVsgcR1Gep8I_YH3s,-5.8106301,-35.2316982,bar
93,Bar e Galeteria do Faustino,ChIJcRh4VshVsgcRmltsHMTBgmQ,-5.857225800000001,-35.2502358,bar
94,GESIANE PACCELI - Espaço Estética,ChIJ3Wj0wLxVsgcRSmfNOkZa7b0,-5.847988999999999,-35.240845,bar
95,Churrascaria & Pizzaria Xique-Xique,ChIJjwMUPU9VsgcR5gCj8N19154,-5.810830300000001,-35.2300242,bar
96,Barber Shop BelezaVip,ChIJMUWUYqGrswcRyZ2b35bZPsk,-5.760594999999999,-35.277231,bar
97,Cantinho da Lagoa,ChIJTb4zJLlVsgcRQ1fpptBEGR0,-5.852742600000001,-35.2429922,bar
98,Bar do Bidoca,ChIJtx3JTF1VsgcRKoCQ3KvWf24,-5.820840199999999,-35.2258048,bar
99,O Popular - Bar Roberto Carlos,ChIJ5xsRzlpVsgcRHGRN4cqCkLs,-5.8144531,-35.2254371,bar
100,Ranchinho Nordestino,ChIJd_We1aKrswcROvsvlebSRWA,-5.756200900000001,-35.2781141,bar
101,Forró Do Virgulino,ChIJkzK4Pq2rswcRbXQBrEPAci8,-5.7588937,-35.2600894,bar
102,Mamute rock bar,ChIJkcj2G1OqswcR5x5toUL4LcE,-5.760049,-35.25702199999999,bar
103,MPB Bar,ChIJxVe1I62qswcRoltZMZQJBiY,-5.8031307,-35.2234639,bar
104,Six-Point,ChIJt4JD31CqswcRhLPS5Ik3MG4,-5.761481899999999,-35.25031329999999,bar
105,Sangalo Bar,ChIJjw3v1Iz_sgcR5qKDc-qIF4k,-5.822074999999998,-35.2206123,bar
106,Buteco Pai D'égua,ChIJseWt0F5VsgcR8L8SCUDIM6A,-5.818090000000001,-35.217959,bar
107,Bar do Val,ChIJ-4UXJ3lVsgcRb_HNDrCV7f4,-5.8374619,-35.2212935,bar
108,Casa D'Aldeia Petiscaria Portuguesa,ChIJ5f7a2aWqswcRO_9ACOEaRtc,-5.793859200000001,-35.2205489,bar
109,Depyl Action,ChIJPflKsIr_sgcRvyBh0tLHCyw,-5.8230444,-35.21397290000001,beauty_salon
110,Depyl Action,ChIJoXwAyT7_sgcR_3GEevUe7SU,-5.8626378,-35.1903399,beauty_salon
111,Depyl Action,ChIJCz5fnBQAswcRvbznxF89qcE,-5.7896207,-35.1987929,beauty_salon
112,D'pil Brasil,ChIJIXJvOVlVsgcRqLWF5J5bwF4,-5.816741599999999,-35.2189477,beauty_salon
113,Depilla,ChIJh1LGPmX_sgcRlqbQ2iLYJNE,-5.8483336,-35.2068347,beauty_salon
114,Oficina da Beleza,ChIJY_L5Zvz_sgcREGxUxRaU13g,-5.813492900000001,-35.20878,beauty_salon
115,Casa Norte Beauty,ChIJSUp3umZVsgcRiz4tsW0hzfE,-5.811254099999999,-35.206223,beauty_salon
116,D'pil a Fotodepilaçao Inteligente,ChIJ46ucS2X_sgcRnF0PuNfs47E,-5.848679,-35.2055715,beauty_salon
117,Personnalité Saúde e Estética,ChIJ9xPrZWX_sgcRmiFw8-I6HnY,-5.8448125,-35.2079368,beauty_salon
118,Salão Nuance,ChIJHbxsenf_sgcRQ7ymSznuEic,-5.843685100000001,-35.2037429,beauty_salon
119,Belezaria,ChIJbbO8zhMAswcRQVYL1hyq6-A,-5.788067799999999,-35.19618349999999,beauty_salon
120,Clínica Capilar Lucia Almeida,ChIJO29qJ-3_sgcR28g7iOnd6aw,-5.8600181,-35.2007754,beauty_salon
121,Vinan Beleza e Estética,ChIJb0jkcS7_sgcRH2XTZ6nFn1c,-5.866411499999999,-35.1856038,beauty_salon
122,Ary Coiffure,ChIJezA_z2X_sgcRdldtTh7rcHs,-5.853543000000001,-35.205445,beauty_salon
123,FLASH - Centro de Estética,ChIJ83zjXDr_sgcRZINEeND9z8c,-5.867456,-35.185185,beauty_salon
124,Beleza Center,ChIJ80Tf6XIAswcR_ss5sqZvT5w,-5.787162599999999,-35.2074859,beauty_salon
125,Salon and Hairdresser Course D'Charm Charm,ChIJiTkRnaiqswcRcMQxJkri96c,-5.795433599999999,-35.218687,beauty_salon
126,Marcos Galvão Hair Designer,ChIJ-3CGkBAAswcRJaiqmMIx1l0,-5.788052299999999,-35.1974239,beauty_salon
127,Enedina Cabelo & Estetica,ChIJlVxWfxQAswcRrcKkXxTPafU,-5.7904067,-35.1985853,beauty_salon
128,Abiss & Arlete Studio Hair,ChIJf3lc__z_sgcRHrcByJVSryA,-5.801945099999999,-35.2042443,beauty_salon
129,Mari Anninha,ChIJiU7riRYAswcR8oGTpz9vxvA,-5.7933815,-35.1961921,beauty_salon
130,Zellus Centro de Depilacão ltda,ChIJx39qOfH_sgcRcevsYcoC9_g,-5.816369999999999,-35.20823609999999,beauty_salon
131,Beleza Moderna,ChIJ1UmRmktUsgcRyLRClQt4zfE,-5.850567,-35.26219100000001,beauty_salon
132,Cláudia Cabelos,ChIJzWpFtNL4sgcReEzjh8J0MO8,-5.8779105,-35.18071329999999,beauty_salon
133,Raquel Hair Center,ChIJdYe6RWkAswcRock1VRQUl7A,-5.782464999999999,-35.19781599999999,beauty_salon
134,Centro De Estetica,ChIJ34SDcpX4sgcR17fHdqBJf1o,-5.896265000000001,-35.1952467,beauty_salon
135,A&M Cabeleireiros,ChIJxXqoy3xVsgcRikz_F6BqHaQ,-5.7871629,-35.1974796,beauty_salon
136,Ary Cabelos,ChIJYbG-q_P_sgcRY8jxybFgzss,-5.820221000000001,-35.2066653,beauty_salon
137,George's Cabeleireiro,ChIJjRhLMxEAswcRy5ykeaHldrg,-5.793285799999999,-35.2010224,beauty_salon
138,Pin Up! Cabelo & Maquiagem,ChIJvb1i5_T_sgcRkSwWla-WkRE,-5.821572399999999,-35.2115096,beauty_salon
139,Porta Joia Espaço Beleza,ChIJH1913nIAswcRhWEQrJzdCZI,-5.7861807,-35.2058873,beauty_salon
140,LANDSON CABELOS,ChIJpU7A0GpVsgcR35mICoZ-AkA,-5.8226777,-35.2363156,beauty_salon
141,Kbeleza,ChIJpZD_bPP_sgcRAHLuxy5T_kY,-5.816343499999999,-35.20611,beauty_salon
142,Salão Studio M,ChIJkQk-jmn_sgcRo5NO5xDXw7c,-5.8593607,-35.2005729,beauty_salon
143,Salão VIP,ChIJE3QAyQQAswcREFJGNLbRoxE,-5.799932,-35.20560450000001,beauty_salon
144,Marcellus Centro de Beleza,ChIJDYtmRw0AswcRtegIVYiarHk,-5.7884946,-35.20524989999999,beauty_salon
145,Cortez Mais,ChIJR1iYZ0T_sgcR3g74o0WRb08,-5.8630406,-35.19952519999999,beauty_salon
146,Cida Cabelo,ChIJk-Ux7gtXsgcRQNDjLatsJ8I,-5.9203691,-35.26578959999999,beauty_salon
147,Privilège Nails,ChIJCU2GeQsAswcREPQLp2oH7s8,-5.787656,-35.2100171,beauty_salon
148,Salão Beleza em Evidência,ChIJe7glnvr_sgcRwnUUC1UaN9M,-5.816716599999999,-35.2011079,beauty_salon
149,Carla cabelos,ChIJrSE0E2kAswcRRXlhrUKqNFQ,-5.7827113,-35.1964683,beauty_salon
150,New Look,ChIJzY4y2gwAswcRsYFZJ6plWmc,-5.787669300000001,-35.2069278,beauty_salon
151,Williams Nery Hair Design,ChIJ6T4vazr_sgcRJBF643O3dig,-5.868019899999999,-35.1863134,beauty_salon
152,Salão Bella Chique,ChIJKWhZ1A-rswcRo9evpmf5yjs,-5.7738903,-35.27241859999999,beauty_salon
153,Fred Hair Styles,ChIJqTb7yGwAswcRvATkl5iFGaU,-5.787514300000001,-35.1999809,beauty_salon
154,Salão Art & Glamour Cabelos e Estética,ChIJI0cpsVdVsgcRwq-QN5JRG94,-5.8115515,-35.2168655,beauty_salon
155,Jully Cabelo's,ChIJzxD4ZkSqswcRX5nfs18NTCw,-5.7558965,-35.2434661,beauty_salon
156,Fátima Instituto de Beleza,ChIJd-wYv7v4sgcRhDqvZdt17co,-5.888425,-35.1999384,beauty_salon
157,Cenário de Beleza,ChIJ1-rG0QdXsgcRZgA3gALb1F8,-5.915539600000001,-35.2616069,beauty_salon
158,Renilda Saldanha Cabelo e Estética,ChIJA2PClYz_sgcRhQnTz-LYH7Q,-5.8240398,-35.2079727,beauty_salon
159,New Look Salão de Beleza,ChIJN2GQtP__sgcRHKUPW_Uhcjk,-5.806133500000001,-35.2121846,beauty_salon
160,Zilda Cabeleireiros,ChIJkfOI70b_sgcR8BqA3A8uNAs,-5.8650627,-35.19633819999999,beauty_salon
161,Instituto de beleza Bella Donna,ChIJjwbeDdSrswcRr3Q5KXD6-VU,-5.7344254,-35.2632909,beauty_salon
162,Espaço Samylla Silva,ChIJsVXqeAlVsgcRskIN4gw6avc,-5.8357695,-35.2427571,beauty_salon
163,Laerty Hair,ChIJtWnGEThVsgcRF4z4AjqT3Wc,-5.812642899999999,-35.2375807,beauty_salon
164,Marcia Cris Espaço da Beleza,ChIJgxeG_FpVsgcRRPWbJXTGT1k,-5.8511828,-35.253354,beauty_salon
165,Beleza Potiguar unhas decoradas cm kisia cardoso,ChIJq65qIUFVsgcRgZ9aoLtzWlA,-5.817496999999999,-35.2338188,beauty_salon
